Filipino_Expression,English_Equivalent
nanghihina ang katawan,muscle weakness
nanginginig sa ginaw,shivering
naninigas ang katawan,movement stiffness
naninilaw ang balat,yellowish skin
naninilaw ang mata,yellowing of eyes
naninilaw na sugat,yellow crust ooze
nanlalabo ang mata,blurred and distorted vision
nanlalamig,chills
nanlalamig ang mga kamay at paa,cold hands and feets
nasa lahi,family history
nasalinan ng dugo,receiving blood transfusion
nasusuka,nausea
naturukan ng maruming karayom,receiving unsterile injections
natutuklap ang balat,skin peeling
natutumba,loss of balance
natutuyo,dehydration
natutuyo ang sugat,scurring
nawala ang amoy,loss of smell
nawawalan ng balanse,loss of balance
nawawalan ng pag-asa,depression
ngalay ang paa at kamay,weakness in limbs
ngongo magsalita,slurred speech
nilalagnat,fever
ninenerbiyos,anxiety
pabago-bago ang sugar,irregular sugar level
pagkahilo,dizziness
pagod,fatigue
pagsusuka,vomiting
pagtatae,diarrhoea
palyadong atay,acute liver failure
pamamaga,swelling joints
panay ang bahing,continuous sneezing
pangangati,itching
panghihina,muscle weakness
panghihina ng kalamnan,muscle weakness
pantal,skin rash
papatak patak ang ihi,spotting  urination
parang bundat,distention of abdomen
parang kinakagat sa loob,internal itching
parang lutang,altered sensorium
parang masusuka,nausea
parang may balakubak sa katawan,silver like dusting
parang tutumba,loss of balance
pasa,bruising
pasmado,cold hands and feets
patay gutom,excessive hunger
pawis na pawis,sweating
peklat,scurring
pinagpapawisan,sweating
pinapawisan,sweating
pinupulikat,cramps
plema,phlegm
plemang malapot,mucoid sputum
plemang may kulay,rusty sputum
pulang butlig sa katawan,red spots over body
pulang pula ang mata,redness of eyes
pulang sugat sa ilong,red sore around nose
pumayat,weight loss
pumayat nang husto,muscle wasting
puno ng blackheads,blackheads
puno ng sipon,congestion
puno ng tubig sa katawan,fluid overload
rashes,skin rash
sakit ng dibdib,chest pain
sakit ng katawan,muscle pain
sakit ng likod,back pain
sakit ng tiyan,abdominal pain
sakit ng ulo,headache
sakit sa mata,pain behind the eyes
sakit sa pamilya,family history
sinalinan ng dugo,receiving blood transfusion
sinat,fever
singaw,ulcers on tongue
singaw sa dila,ulcers on tongue
sinipon,continuous sneezing
sinisikmura,acidity
sinisinat,mild fever
sinisipon,runny nose
sinusumpong,mood swings
sipon,continuous sneezing
sipon nang sipon,runny nose
sira ang atay,acute liver failure
sira ang kuko,small dents in nails
sira ang tiyan,diarrhoea
sirang kuko,brittle nails
sobrang init ng katawan,high fever
sobrang lungkot,depression
sobrang lutang,dizziness
sobrang pagod,fatigue
sobrang taba,obesity
sobrang tamlay,toxic look (typhos)
sore ang mata,eye pain
sore eyes,redness of eyes
stiff neck,stiff neck
suka,vomiting
sumasakit ang balakang,back pain
sumasakit ang kuko,inflammatory nails
sumasakit ang mata,eye pain
sumasakit ang puson,belly pain
sumasakit ang sikmura,stomach pain
sumasakit ang tiyan,abdominal pain
sumasakit ang tuhod,knee pain
sumasakit ang ulo,headache
sumasakit batok,neck pain
sumasakit tiyan,abdominal pain
sumisikip ang dibdib,chest pain
sumpong,mood swings
sumuka,vomiting
sumusuka,vomiting
tae na may dugo,bloody stool
tagaktak ang pawis,sweating
takaw,increased appetite
tamad na tamad,lethargy
tatae,diarrhoea
tigyawat na may nana,pus filled pimples
tinitibi,constipation
trangkaso,high fever
tulala,altered sensorium
tumataas ang sugar,irregular sugar level
tumataba,weight gain
tumataba nang husto,obesity
tumutulo ang luha,watering from eyes
tumutulo ang sipon,runny nose
tuyong labi,drying and tingling lips
tuyot ang katawan,dehydration
ubo,cough
ubo nang ubo,cough
umiikot ang paligid,spinning movements
umiikot ang paningin,dizziness
utot nang utot,passage of gases
varicose veins,prominent veins on calf
vertigo,spinning movements
wala sa sarili,altered sensorium
walang gana,lethargy
walang gana kumain,loss of appetite
walang ganang kumain,loss of appetite
walang lakas,fatigue
walang lakas ang mga binti,weakness in limbs
walang lakas ang mga braso,muscle weakness
walang malay,coma
walang pang amoy,loss of smell
walang pang-amoy,loss of smell
walang tulog,restlessness
yellow ang ihi,yellow urine
